	NIW_0_MPI_1	NIW_0_MPI_2	NIW_0_MPI_3	IW_0_MPI_1	IW_0_MPI_2	IW_0_MPI_3
VIT_11s0206g00200	22	42	22	23	21	24
VIT_17s0000g04020	595	329	348	440	590	637
VIT_06s0009g03110	0	0	0	0	0	0
VIT_00s1328g00010	18	21	29	29	15	30
VIT_06s0004g06070	171	221	233	268	319	318
VIT_11s0016g00260	536	583	503	456	519	469
VIT_03s0038g01150	49	23	27	65	92	80
VIT_18s0117g00070	0	0	0	0	0	0
VIT_18s0001g05150	0	1	1	3	1	1
VIT_13s0019g01050	42	31	34	32	50	35
VIT_00s0687g00030	0	0	0	0	0	0
VIT_06s0004g03960	0	0	0	1	1	0
VIT_14s0060g00900	6261	8317	7429	4949	6080	6012
VIT_18s0117g00550	0	0	0	1	1	1
VIT_14s0083g00060	77	188	210	149	45	74
VIT_19s0014g05220	537	728	687	660	703	788
VIT_18s0001g06600	284	306	284	237	109	199
VIT_06s0004g08090	1	1	0	0	1	0
VIT_09s0054g01440	0	0	0	0	0	0
VIT_07s0005g00960	498	524	499	575	513	544
VIT_01s0010g00640	198	211	215	102	174	168
VIT_18s0072g00690	376	368	275	319	420	389
VIT_06s0061g00100	23	0	0	17	13	16
VIT_00s0701g00010	165	101	101	121	130	124
VIT_15s0046g01960	197	323	336	385	82	248
VIT_09s0002g08980	34	51	44	64	49	56
VIT_01s0010g01850	423	357	242	297	400	363
VIT_06s0004g05310	1	1	0	1	0	1
VIT_13s0074g00410	27	39	34	31	57	45
VIT_02s0236g00120	46	19	15	25	27	31
VIT_06s0004g04890	1440	1436	1414	1677	1389	1713
VIT_00s0414g00060	0	10	8	15	11	12
VIT_01s0011g05440	0	0	0	1	2	1
VIT_16s0100g00270	50	52	34	98	72	81
VIT_03s0038g00150	1449	1586	1765	1032	688	957
VIT_08s0040g01990	0	0	0	0	0	0
VIT_16s0039g02550	1004	1184	921	1147	688	974
VIT_18s0041g01600	1	1	2	2	1	1
VIT_13s0067g02440	969	1058	1152	902	1224	1157
VIT_13s0067g02300	1	29	1	51	101	85
VIT_05s0051g00320	0	1	0	0	0	0
VIT_01s0010g03470	5	4	12	22	3	18
VIT_12s0028g00630	405	412	419	346	371	385
VIT_08s0007g00410	2872	3176	3253	4096	1831	3059
VIT_06s0009g01120	35	50	43	43	73	78
VIT_19s0093g00470	284	304	269	313	272	318
VIT_08s0007g05300	5	14	19	1	1	14
VIT_06s0004g04180	140	10	22	136	23	97
VIT_00s0551g00050	9	8	8	10	5	6
VIT_06s0004g03920	300	404	274	703	1059	926
VIT_00s0204g00210	4	1	0	6	1	3
VIT_14s0006g02320	9	9	19	10	3	5
VIT_01s0137g00330	0	0	0	0	1	0
VIT_13s0067g01370	8	8	5	6	11	6
VIT_13s0019g03010	1	0	0	3	0	3
VIT_02s0025g04200	210	109	84	247	229	264
VIT_11s0016g05300	2289	1993	2150	1987	2304	2230
VIT_13s0019g01380	5	0	0	5	0	2
VIT_00s0515g00010	1564	1559	1533	1590	1594	1637
VIT_05s0049g01380	559	475	479	317	397	374
VIT_01s0011g04400	161	273	330	208	100	173
VIT_14s0068g00630	561	490	468	522	577	576
VIT_12s0028g01210	73	77	83	61	72	62
VIT_01s0010g00530	5	2	3	7	2	12
VIT_17s0000g03600	1139	974	716	666	967	894
VIT_12s0134g00070	2	1	1	0	5	1
VIT_00s0485g00020	4	3	2	5	8	6
VIT_03s0132g00390	0	1	0	1	0	0
VIT_05s0077g00800	219	245	251	266	174	216
VIT_09s0054g00250	0	0	0	0	0	0
VIT_11s0118g00330	244	252	239	240	231	280
VIT_04s0023g02580	15	17	12	16	9	13
VIT_02s0025g00340	931	1152	984	984	1269	1257
VIT_09s0002g07680	0	1	0	1	1	2
VIT_12s0028g01000	89	84	66	92	123	128
VIT_08s0040g00120	108	120	125	96	101	131
VIT_09s0002g01470	311	327	308	245	320	282
VIT_19s0014g00860	423	384	340	486	626	583
VIT_19s0027g00560	9	6	0	6	3	2
VIT_04s0008g01000	2407	2666	2700	3907	2382	3308
VIT_01s0011g00460	685	550	508	269	492	430
VIT_16s0100g00370	1914	2086	2171	1687	1687	1763
VIT_08s0007g02740	39	45	42	26	36	35
VIT_06s0061g00830	174	151	163	68	113	83
VIT_18s0041g00240	26	14	10	6	13	11
VIT_12s0028g03990	28	16	21	34	42	35
VIT_07s0005g04290	2115	2480	2294	1924	1923	2028
VIT_19s0014g03940	0	1	0	0	0	0
VIT_05s0020g00530	0	0	0	0	0	0
VIT_01s0010g01200	3461	4655	4527	5783	3332	4795
VIT_16s0022g00560	0	1	1	0	0	0
VIT_17s0000g01200	1019	901	929	830	911	978
VIT_00s1506g00010	175	166	158	164	148	159
VIT_08s0040g03280	429	501	471	543	765	745
VIT_16s0050g00970	1701	1492	1291	1674	2034	1998
VIT_15s0046g02050	364	424	228	528	995	820
VIT_18s0001g05220	2178	1804	1498	1786	2014	2037
VIT_00s0421g00010	0	0	0	0	0	0
VIT_09s0002g02790	0	0	0	0	0	0
VIT_04s0008g05810	466	492	327	507	855	752
VIT_05s0020g04060	279	348	293	242	256	279
VIT_03s0063g00030	395	396	329	427	274	338
VIT_09s0070g00320	70	43	44	48	79	77
VIT_06s0004g02710	440	237	267	284	253	285
VIT_12s0028g03800	1772	1931	1355	2381	2888	2799
VIT_05s0020g00470	947	1186	931	1446	1792	1694
VIT_18s0001g15370	347	315	269	340	336	310
VIT_05s0077g01650	3	0	0	0	0	0
VIT_08s0217g00120	1433	1974	2462	2527	1543	2182
VIT_19s0085g00800	0	0	0	0	0	0
VIT_17s0000g00280	6093	6731	7645	6458	6423	6696
VIT_01s0026g01810	0	1	0	0	0	0
VIT_17s0000g02320	464	466	495	445	522	527
VIT_14s0068g00740	545	473	428	574	372	439
VIT_08s0040g01720	78	64	49	65	85	99
VIT_03s0167g00060	0	0	0	0	0	0
VIT_11s0037g00040	1701	1422	1380	1463	893	1260
VIT_04s0210g00220	2819	2616	2574	2889	2793	3008
VIT_07s0005g03290	2	4	8	9	29	22
VIT_14s0006g01380	25	21	20	9	25	15
VIT_16s0100g01080	0	0	0	0	1	0
VIT_14s0171g00470	159	139	122	111	171	160
VIT_14s0006g02290	134	442	220	250	147	227
VIT_13s0067g03250	253	377	359	536	211	391
VIT_12s0035g00190	765	843	917	830	732	825
VIT_04s0023g02700	3787	3955	4523	4817	4360	4689
VIT_18s0001g02590	17	14	5	20	10	15
VIT_18s0041g01930	53	54	60	54	54	38
VIT_01s0011g05410	196	236	178	240	124	188
VIT_13s0019g03250	0	0	0	0	0	0
VIT_10s0042g01390	33	63	60	70	97	114
VIT_06s0061g00880	0	0	0	0	0	0
VIT_04s0008g02250	7679	9592	7846	8491	10104	9849
VIT_02s0025g01900	38	57	74	62	32	60
VIT_18s0001g05830	488	341	320	291	446	356
VIT_11s0016g03050	5	13	6	21	12	10
VIT_04s0043g00940	0	0	0	0	0	0
VIT_11s0037g00830	805	756	942	629	712	752
VIT_03s0038g02320	5239	4927	4793	4286	5900	5670
VIT_18s0041g00230	26	18	12	18	22	20
VIT_06s0061g00800	236	247	212	305	292	324
VIT_13s0067g01160	1	0	1	1	0	1
VIT_07s0005g00310	20	10	4	20	19	22
VIT_00s0262g00070	0	3	2	1	0	1
VIT_01s0011g06430	133	843	1243	2086	205	1120
VIT_03s0110g00110	0	0	0	0	1	1
VIT_11s0052g01790	0	6	4	5	0	3
VIT_00s0313g00050	25	32	27	31	18	29
VIT_03s0063g01620	0	0	0	0	0	0
VIT_01s0010g01120	72	64	47	62	95	91
VIT_02s0087g00490	1083	1256	1076	1209	1197	1265
VIT_03s0063g00910	1	1	0	0	2	0
VIT_14s0108g00870	2365	2917	3890	3544	4318	3980
VIT_13s0047g00310	802	869	857	795	754	821
VIT_02s0025g01450	220	336	244	369	340	352
VIT_07s0031g02150	397	442	408	468	418	467
VIT_17s0000g09990	1521	1621	1460	1562	1546	1608
VIT_18s0157g00070	3	1	5	1	4	2
VIT_19s0014g01320	0	0	1	2	1	0
VIT_18s0157g00060	0	0	0	0	0	0
VIT_04s0008g01780	307	315	226	202	303	272
VIT_19s0015g02360	0	0	0	0	0	0
VIT_15s0046g00170	4391	4192	2983	3361	1836	2717
VIT_12s0057g00780	12	4	6	14	19	17
VIT_01s0010g02060	0	0	0	0	0	0
VIT_13s0047g00850	0	0	0	0	0	0
VIT_04s0044g00450	0	0	0	0	0	0
VIT_14s0036g00540	103	53	75	90	66	96
VIT_19s0027g01640	277	335	312	348	217	325
VIT_18s0041g00950	3	5	1	5	2	2
VIT_10s0071g01210	0	0	0	0	0	0
VIT_05s0102g00250	105	105	101	82	66	89
VIT_00s2032g00010	207	317	152	276	379	319
VIT_13s0067g00350	3	5	4	1	3	5
VIT_05s0062g01370	302	274	237	308	320	284
VIT_12s0028g02140	555	525	550	805	629	803
VIT_08s0007g04020	240	417	334	487	280	413
VIT_14s0006g02480	99	112	88	112	122	145
VIT_18s0001g02690	25	44	40	72	36	61
VIT_15s0021g00570	1446	1759	1887	2177	1563	1812
VIT_17s0000g08510	190	238	178	257	191	253
VIT_18s0001g04580	744	902	1031	1003	1459	1413
VIT_14s0006g00520	1199	1430	1388	1291	582	1007
VIT_04s0044g00570	0	0	0	0	0	0
VIT_00s0396g00020	10	4	4	17	18	20
VIT_05s0049g01200	3	7	5	11	10	16
VIT_05s0020g01000	1	1	1	0	0	0
VIT_05s0102g00050	2	1	0	1	0	1
VIT_18s0086g00530	0	0	0	0	0	0
VIT_08s0007g04170	4246	4953	4186	5396	5703	6285
VIT_13s0064g00560	2433	3609	2842	1762	845	1391
VIT_17s0000g07760	1092	1117	1024	835	1131	996
VIT_11s0065g00580	4	6	0	3	4	0
VIT_14s0006g00120	0	0	0	0	0	0
VIT_17s0119g00120	21	60	30	141	109	120
VIT_03s0038g00740	2465	1975	1938	1138	2443	1913
VIT_02s0012g01280	681	698	565	724	625	699
VIT_01s0026g02260	550	579	534	326	429	382
VIT_06s0009g02690	0	0	0	0	0	0
VIT_16s0022g01400	0	0	0	0	0	0
VIT_19s0015g00160	666	710	583	760	751	805
VIT_16s0039g01240	0	0	0	0	0	0
VIT_07s0005g06310	147	132	132	130	151	128
VIT_16s0115g00410	0	0	0	0	0	0
VIT_06s0004g03200	164	109	111	47	84	88
VIT_18s0001g05330	68	85	72	48	72	82
VIT_08s0007g02780	70	110	74	116	155	168
VIT_16s0050g01570	315	370	348	304	278	309
